date,time,lat,lon,depth,ML
1995/1/10,55:19.6,23.6802,121.432,3.81,5.12
1995/2/10,21:59.7,23.7608,121.9197,24.61,5.15
1995/2/23,19:02.8,24.2037,121.687,21.69,5.77
1995/3/24,13:51.1,24.638,121.8607,76,5.64
1995/4/1,12:22.5,24.9302,122.1207,122.24,5.3
1995/4/3,54:40.1,23.9355,122.4317,14.55,5.88
1995/4/3,33:24.3,23.9472,122.32,3.94,5.35
1995/4/9,44:51.5,21.8272,121.0303,15.7,5.33
1995/4/10,51:13.4,21.8322,121.0233,29.81,5.04
1995/4/24,04:01.0,24.6517,121.6222,63.07,5.28
1995/4/25,29:03.0,22.6463,120.5078,43.67,5.49
1995/5/2,48:20.5,23.8332,121.973,23.93,5.24
1995/5/15,58:38.8,24.738,122.363,79.44,5.37
1995/5/27,11:11.1,23.0082,121.4647,19.73,5.26
1995/6/6,21:23.0,23.0143,121.4568,23.65,5.06
1995/6/25,59:07.1,24.6062,121.6685,39.88,6.5
1995/6/28,14:53.7,22.2257,121.347,6.55,5.29
1995/7/7,04:48.4,23.8935,121.09,13.07,5.3
1995/7/14,52:46.5,24.3203,121.851,8.79,5.8
1995/8/15,53:56.7,23.9788,122.4252,9.67,5.04
1995/10/31,27:06.9,23.2908,120.3588,10.65,5.19
1995/12/1,17:04.6,24.606,121.6427,45.07,5.72
1995/12/8,14:40.7,24.2682,122.3545,50,5.25
1995/12/18,17:54.5,24.0183,121.692,22.06,5.8
1995/12/20,56:36.9,24.0493,121.7125,33.74,5.06
1996/1/22,22:57.5,24.9283,121.7237,66.86,5.11
1996/3/5,52:27.1,23.9302,122.3615,6,6.4
1996/3/5,32:08.6,23.8985,122.303,10.81,5.96
1996/3/19,25:02.7,23.9073,122.308,1.63,5.04
1996/3/19,33:26.6,23.9173,122.2532,5.21,5.03
1996/3/28,53:19.2,24.019,122.2895,7.74,5.35
1996/3/29,28:53.5,23.9718,122.3305,5.79,5.64
1996/5/28,53:22.4,24.0535,121.5828,24.95,5.05
1996/7/6,27:05.5,22.667,120.515,26.95,5.19
1996/7/17,26:56.6,23.8957,122.4792,18.01,5.05
1996/7/29,20:53.5,24.4888,122.347,65.68,6.14
1996/9/5,42:07.9,22.0012,121.3667,14.76,7.07
1996/9/6,26:04.2,21.8398,121.3767,19.98,5.27
1996/9/6,04:56.4,21.929,121.3657,7.03,5.5
1996/9/6,24:37.5,21.6613,121.3608,9.2,5.03
1996/9/6,34:32.7,21.6897,121.3228,19.9,5.59
1996/11/14,39:11.2,23.418,122.0855,12.8,5.26
1996/11/26,22:23.7,24.1643,121.6953,26.18,5.35
1996/12/18,20:23.2,22.8212,121.3577,16.22,5.03
1996/12/25,52:16.6,24.1615,122.3385,19.64,5.24
1997/1/16,07:20.4,22.0118,121.304,8.94,5.37
1997/1/18,13:47.8,23.9317,122.4405,15.14,5.39
1997/3/10,33:37.2,24.083,122.343,8.52,5.08
1997/4/13,45:14.0,23.8053,121.7143,45.49,5.56
1997/4/27,59:32.6,24.6123,121.9622,60.64,5.15
1997/5/3,46:13.7,22.5367,121.4025,3.64,5.27
1997/6/18,03:30.6,23.9593,121.83,31.72,5.22
1997/6/22,36:04.1,22.1662,121.38,1.83,5.4
1997/7/4,37:30.5,23.0568,120.7902,5.16,5.18
1997/7/8,26:27.3,23.9247,122.4313,2.01,5.1
1997/8/24,17:39.9,21.636,120.2045,41.53,5.25
1997/8/24,58:36.5,21.6295,120.2722,45.62,5.35
1997/9/28,54:26.2,24.6092,121.783,68.63,5.01
1997/10/22,16:26.6,22.4445,121.4627,10.18,5.3
1997/11/12,09:35.9,21.754,121.399,70.29,5.26
1997/11/14,29:50.8,24.1602,121.7583,3.13,5.4
1998/1/14,54:45.0,21.7832,121.885,5.37,5.26
1998/1/14,57:13.6,21.8292,121.8152,5,5.18
1998/1/18,56:51.7,22.725,121.089,3.28,5.07
1998/1/20,29:38.9,22.6863,121.0798,3.82,5.07
1998/3/11,00:08.1,22.3562,122.3018,25.25,5.22
1998/3/11,21:54.9,22.4448,122.2588,4.1,5.34
1998/5/9,53:39.0,24.8233,121.907,83.61,5.38
1998/5/30,22:38.3,24.2687,122.129,37.76,5.34
1998/7/17,51:15.0,23.5027,120.6625,2.8,6.2
1998/7/24,44:03.0,21.6323,121.8397,6.67,5.93
1998/10/9,52:51.5,22.1202,121.6467,10,5.39
